id,task_name,query,ground_truth,model_name,response,valid,agree,task_performance,cost,performance,token_num,embedding_id
79ae9959f71c,__main__.draft_responses.filter_emails,"site: __main__.draft_responses.filter_emails
returns: Classification
tools: none

system:     This is a task you must complete by returning only the output.
    Do not include explanations, code, or extra text—only the result.
    
system: Task: Senior Email Analyst: classify the email from its snippet and sender. Only messages actually directed at the user that need a personal reply are IMPORTANT; newsletters are NEWSLETTER, promotional content is PROMOTIONAL, automated notifications are NOTIFICATIONS, social platform mail is SOCIAL, product/service updates are UPDATES, junk is SPAM.

Inputs:
abstract (MailAbstract)

Returns: Classification

Respond with a single JSON object.
Schema requirements:
- schema_object_wrapper must be one of: IMPORTANT=IMPORTANT, SPAM=SPAM, NEWSLETTER=NEWSLETTER, PROMOTIONAL=PROMOTIONAL, NOTIFICATIONS=NOTIFICATIONS, SOCIAL=SOCIAL, UPDATES=UPDATES
user: self = draft_responses()
abstract = MailAbstract(id='msg_001', thread_id='thr_001', snippet='AI Weekly #340 - This week: what we learned from 50 production agent deployments, the economics of inference at scale, and a debate on evals. Read online. Unsubscribe', sender='AI Weekly <digest@aiweekly.co>')",,openai/gemma4:31b,"```json
{
  ""schema_object_wrapper"": ""NEWSLETTER""
}
```",1,1,1,3.276999999999999e-05,0.951688043638508,303,0
79ae9959f71c,__main__.draft_responses.filter_emails,"site: __main__.draft_responses.filter_emails
returns: Classification
tools: none

system:     This is a task you must complete by returning only the output.
    Do not include explanations, code, or extra text—only the result.
    
system: Task: Senior Email Analyst: classify the email from its snippet and sender. Only messages actually directed at the user that need a personal reply are IMPORTANT; newsletters are NEWSLETTER, promotional content is PROMOTIONAL, automated notifications are NOTIFICATIONS, social platform mail is SOCIAL, product/service updates are UPDATES, junk is SPAM.

Inputs:
abstract (MailAbstract)

Returns: Classification

Respond with a single JSON object.
Schema requirements:
- schema_object_wrapper must be one of: IMPORTANT=IMPORTANT, SPAM=SPAM, NEWSLETTER=NEWSLETTER, PROMOTIONAL=PROMOTIONAL, NOTIFICATIONS=NOTIFICATIONS, SOCIAL=SOCIAL, UPDATES=UPDATES
user: self = draft_responses()
abstract = MailAbstract(id='msg_001', thread_id='thr_001', snippet='AI Weekly #340 - This week: what we learned from 50 production agent deployments, the economics of inference at scale, and a debate on evals. Read online. Unsubscribe', sender='AI Weekly <digest@aiweekly.co>')",,openai/glm-5.2,"{""IMPORTANT"":""NEWSLETTER""}",0,0,0,0.00013565999999999999,-0.2,278,0
fd1c860c0c44,__main__.draft_responses.filter_emails,"site: __main__.draft_responses.filter_emails
returns: Classification
tools: none

system:     This is a task you must complete by returning only the output.
    Do not include explanations, code, or extra text—only the result.
    
system: Task: Senior Email Analyst: classify the email from its snippet and sender. Only messages actually directed at the user that need a personal reply are IMPORTANT; newsletters are NEWSLETTER, promotional content is PROMOTIONAL, automated notifications are NOTIFICATIONS, social platform mail is SOCIAL, product/service updates are UPDATES, junk is SPAM.

Inputs:
abstract (MailAbstract)

Returns: Classification

Respond with a single JSON object.
Schema requirements:
- schema_object_wrapper must be one of: IMPORTANT=IMPORTANT, SPAM=SPAM, NEWSLETTER=NEWSLETTER, PROMOTIONAL=PROMOTIONAL, NOTIFICATIONS=NOTIFICATIONS, SOCIAL=SOCIAL, UPDATES=UPDATES
user: self = draft_responses()
abstract = MailAbstract(id='msg_002', thread_id='thr_002', snippet='CI workflow run failed for commit 7f3a2c1 on main. Failed job: test-py314. 2 of 340 tests failed: test_walker_context, test_spawn_nested. View workflow run on GitHub', sender='GitHub Actions <notifications@github.com>')",,openai/gemma4:31b,"```json
{
  ""schema_object_wrapper"": ""NOTIFICATIONS""
}
```",1,1,1,3.394e-05,0.9505319924209299,316,1
fd1c860c0c44,__main__.draft_responses.filter_emails,"site: __main__.draft_responses.filter_emails
returns: Classification
tools: none

system:     This is a task you must complete by returning only the output.
    Do not include explanations, code, or extra text—only the result.
    
system: Task: Senior Email Analyst: classify the email from its snippet and sender. Only messages actually directed at the user that need a personal reply are IMPORTANT; newsletters are NEWSLETTER, promotional content is PROMOTIONAL, automated notifications are NOTIFICATIONS, social platform mail is SOCIAL, product/service updates are UPDATES, junk is SPAM.

Inputs:
abstract (MailAbstract)

Returns: Classification

Respond with a single JSON object.
Schema requirements:
- schema_object_wrapper must be one of: IMPORTANT=IMPORTANT, SPAM=SPAM, NEWSLETTER=NEWSLETTER, PROMOTIONAL=PROMOTIONAL, NOTIFICATIONS=NOTIFICATIONS, SOCIAL=SOCIAL, UPDATES=UPDATES
user: self = draft_responses()
abstract = MailAbstract(id='msg_002', thread_id='thr_002', snippet='CI workflow run failed for commit 7f3a2c1 on main. Failed job: test-py314. 2 of 340 tests failed: test_walker_context, test_spawn_nested. View workflow run on GitHub', sender='GitHub Actions <notifications@github.com>')",,openai/glm-5.2,"{""IMPORTANT"":""NOTIFICATIONS""}",0,0,0,0.00013722,-0.2,286,1
99a87a877d4a,__main__.draft_responses.filter_emails,"site: __main__.draft_responses.filter_emails
returns: Classification
tools: none

system:     This is a task you must complete by returning only the output.
    Do not include explanations, code, or extra text—only the result.
    
system: Task: Senior Email Analyst: classify the email from its snippet and sender. Only messages actually directed at the user that need a personal reply are IMPORTANT; newsletters are NEWSLETTER, promotional content is PROMOTIONAL, automated notifications are NOTIFICATIONS, social platform mail is SOCIAL, product/service updates are UPDATES, junk is SPAM.

Inputs:
abstract (MailAbstract)

Returns: Classification

Respond with a single JSON object.
Schema requirements:
- schema_object_wrapper must be one of: IMPORTANT=IMPORTANT, SPAM=SPAM, NEWSLETTER=NEWSLETTER, PROMOTIONAL=PROMOTIONAL, NOTIFICATIONS=NOTIFICATIONS, SOCIAL=SOCIAL, UPDATES=UPDATES
user: self = draft_responses()
abstract = MailAbstract(id='msg_002', thread_id='thr_002', snippet='CI workflow run failed for commit 7f3a2c1 on main. Failed job: test-py314. 2 of 340 tests failed: test_walker_context, test_spawn_nested. View workflow run on GitHub', sender='GitHub Actions <notifications@github.com>')
user: Your previous response could not be used. The output parser reported: Failed to convert LLM output to 'Classification': 1 validation error for enum[Classification]
  Input should be 'IMPORTANT', 'SPAM', 'NEWSLETTER', 'PROMOTIONAL', 'NOTIFICATIONS', 'SOCIAL' or 'UPDATES' [type=enum, input_value={'NOTIFICATIONS': 'NOTIFICATIONS'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/enum.
Your previous response was:
{""NOTIFICATIONS"": ""NOTIFICATIONS""}
You MUST reply with ONLY a single JSON object that validates against this JSON schema for `Classification`:
{""type"": ""json_schema"", ""json_schema"": {""name"": ""Classification"", ""schema"": {""type"": ""object"", ""title"": ""schema_object_wrapper"", ""properties"": {""schema_object_wrapper"": {""description"": ""\nThe value *should* be one in this list: ['IMPORTANT', 'SPAM', 'NEWSLETTER', 'PROMOTIONAL', 'NOTIFICATIONS', 'SOCIAL', 'UPDATES'] where the names are [IMPORTANT, SPAM, NEWSLETTER, PROMOTIONAL, NOTIFICATIONS, SOCIAL, UPDATES].\nDetails:\n"", ""type"": ""string"", ""enum"": [""IMPORTANT"", ""SPAM"", ""NEWSLETTER"", ""PROMOTIONAL"", ""NOTIFICATIONS"", ""SOCIAL"", ""UPDATES""]}}, ""required"": [""schema_object_wrapper""], ""additionalProperties"": false}, ""strict"": true}}
Output the raw JSON object only, with no explanation, no reasoning text, no markdown code fences, nothing before or after the JSON.",,openai/gemma4:31b,"{""schema_object_wrapper"": ""NOTIFICATIONS""}",1,1,1,6.294e-05,0.9668562401263823,666,2
99a87a877d4a,__main__.draft_responses.filter_emails,"site: __main__.draft_responses.filter_emails
returns: Classification
tools: none

system:     This is a task you must complete by returning only the output.
    Do not include explanations, code, or extra text—only the result.
    
system: Task: Senior Email Analyst: classify the email from its snippet and sender. Only messages actually directed at the user that need a personal reply are IMPORTANT; newsletters are NEWSLETTER, promotional content is PROMOTIONAL, automated notifications are NOTIFICATIONS, social platform mail is SOCIAL, product/service updates are UPDATES, junk is SPAM.

Inputs:
abstract (MailAbstract)

Returns: Classification

Respond with a single JSON object.
Schema requirements:
- schema_object_wrapper must be one of: IMPORTANT=IMPORTANT, SPAM=SPAM, NEWSLETTER=NEWSLETTER, PROMOTIONAL=PROMOTIONAL, NOTIFICATIONS=NOTIFICATIONS, SOCIAL=SOCIAL, UPDATES=UPDATES
user: self = draft_responses()
abstract = MailAbstract(id='msg_002', thread_id='thr_002', snippet='CI workflow run failed for commit 7f3a2c1 on main. Failed job: test-py314. 2 of 340 tests failed: test_walker_context, test_spawn_nested. View workflow run on GitHub', sender='GitHub Actions <notifications@github.com>')
user: Your previous response could not be used. The output parser reported: Failed to convert LLM output to 'Classification': 1 validation error for enum[Classification]
  Input should be 'IMPORTANT', 'SPAM', 'NEWSLETTER', 'PROMOTIONAL', 'NOTIFICATIONS', 'SOCIAL' or 'UPDATES' [type=enum, input_value={'NOTIFICATIONS': 'NOTIFICATIONS'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/enum.
Your previous response was:
{""NOTIFICATIONS"": ""NOTIFICATIONS""}
You MUST reply with ONLY a single JSON object that validates against this JSON schema for `Classification`:
{""type"": ""json_schema"", ""json_schema"": {""name"": ""Classification"", ""schema"": {""type"": ""object"", ""title"": ""schema_object_wrapper"", ""properties"": {""schema_object_wrapper"": {""description"": ""\nThe value *should* be one in this list: ['IMPORTANT', 'SPAM', 'NEWSLETTER', 'PROMOTIONAL', 'NOTIFICATIONS', 'SOCIAL', 'UPDATES'] where the names are [IMPORTANT, SPAM, NEWSLETTER, PROMOTIONAL, NOTIFICATIONS, SOCIAL, UPDATES].\nDetails:\n"", ""type"": ""string"", ""enum"": [""IMPORTANT"", ""SPAM"", ""NEWSLETTER"", ""PROMOTIONAL"", ""NOTIFICATIONS"", ""SOCIAL"", ""UPDATES""]}}, ""required"": [""schema_object_wrapper""], ""additionalProperties"": false}, ""strict"": true}}
Output the raw JSON object only, with no explanation, no reasoning text, no markdown code fences, nothing before or after the JSON.",,openai/glm-5.2,"{""schema_object_wrapper"": ""NOTIFICATIONS""}",1,1,1,0.00037979999999999996,0.8,705,2
6db5033debb7,__main__.draft_responses.filter_emails,"site: __main__.draft_responses.filter_emails
returns: Classification
tools: none

system:     This is a task you must complete by returning only the output.
    Do not include explanations, code, or extra text—only the result.
    
system: Task: Senior Email Analyst: classify the email from its snippet and sender. Only messages actually directed at the user that need a personal reply are IMPORTANT; newsletters are NEWSLETTER, promotional content is PROMOTIONAL, automated notifications are NOTIFICATIONS, social platform mail is SOCIAL, product/service updates are UPDATES, junk is SPAM.

Inputs:
abstract (MailAbstract)

Returns: Classification

Respond with a single JSON object.
Schema requirements:
- schema_object_wrapper must be one of: IMPORTANT=IMPORTANT, SPAM=SPAM, NEWSLETTER=NEWSLETTER, PROMOTIONAL=PROMOTIONAL, NOTIFICATIONS=NOTIFICATIONS, SOCIAL=SOCIAL, UPDATES=UPDATES
user: self = draft_responses()
abstract = MailAbstract(id='msg_003', thread_id='thr_003', snippet=""Your DataDash Pro trial ends August 7. Upgrade in the next 72 hours and lock in 40% off your first year. See what you'll lose: unlimited dashboards, API access, priority support"", sender='DataDash <hello@datadash.app>')",,openai/gemma4:31b,"```json
{
  ""schema_object_wrapper"": ""PROMOTIONAL""
}
```",1,1,1,3.3560000000000004e-05,0.9666865197538217,309,3
6db5033debb7,__main__.draft_responses.filter_emails,"site: __main__.draft_responses.filter_emails
returns: Classification
tools: none

system:     This is a task you must complete by returning only the output.
    Do not include explanations, code, or extra text—only the result.
    
system: Task: Senior Email Analyst: classify the email from its snippet and sender. Only messages actually directed at the user that need a personal reply are IMPORTANT; newsletters are NEWSLETTER, promotional content is PROMOTIONAL, automated notifications are NOTIFICATIONS, social platform mail is SOCIAL, product/service updates are UPDATES, junk is SPAM.

Inputs:
abstract (MailAbstract)

Returns: Classification

Respond with a single JSON object.
Schema requirements:
- schema_object_wrapper must be one of: IMPORTANT=IMPORTANT, SPAM=SPAM, NEWSLETTER=NEWSLETTER, PROMOTIONAL=PROMOTIONAL, NOTIFICATIONS=NOTIFICATIONS, SOCIAL=SOCIAL, UPDATES=UPDATES
user: self = draft_responses()
abstract = MailAbstract(id='msg_003', thread_id='thr_003', snippet=""Your DataDash Pro trial ends August 7. Upgrade in the next 72 hours and lock in 40% off your first year. See what you'll lose: unlimited dashboards, API access, priority support"", sender='DataDash <hello@datadash.app>')",,openai/glm-5.2,"{""schema_object_wrapper"": ""PROMOTIONAL""}",1,1,1,0.00020148000000000003,0.8,334,3
e429b7d558ed,__main__.draft_responses.filter_emails,"site: __main__.draft_responses.filter_emails
returns: Classification
tools: none

system:     This is a task you must complete by returning only the output.
    Do not include explanations, code, or extra text—only the result.
    
system: Task: Senior Email Analyst: classify the email from its snippet and sender. Only messages actually directed at the user that need a personal reply are IMPORTANT; newsletters are NEWSLETTER, promotional content is PROMOTIONAL, automated notifications are NOTIFICATIONS, social platform mail is SOCIAL, product/service updates are UPDATES, junk is SPAM.

Inputs:
abstract (MailAbstract)

Returns: Classification

Respond with a single JSON object.
Schema requirements:
- schema_object_wrapper must be one of: IMPORTANT=IMPORTANT, SPAM=SPAM, NEWSLETTER=NEWSLETTER, PROMOTIONAL=PROMOTIONAL, NOTIFICATIONS=NOTIFICATIONS, SOCIAL=SOCIAL, UPDATES=UPDATES
user: self = draft_responses()
abstract = MailAbstract(id='msg_004', thread_id='thr_004', snippet='This is a reminder for: Eval planning review. Tuesday Aug 5, 2026 10:00am - 10:30am Eastern. Organizer: impact@jaseci.org. Join with Google Meet', sender='Google Calendar <calendar-notification@google.com>')",,openai/gemma4:31b,"```json
{
  ""schema_object_wrapper"": ""NOTIFICATIONS""
}
```",1,1,1,3.3849999999999996e-05,0.9632703993055556,315,4
e429b7d558ed,__main__.draft_responses.filter_emails,"site: __main__.draft_responses.filter_emails
returns: Classification
tools: none

system:     This is a task you must complete by returning only the output.
    Do not include explanations, code, or extra text—only the result.
    
system: Task: Senior Email Analyst: classify the email from its snippet and sender. Only messages actually directed at the user that need a personal reply are IMPORTANT; newsletters are NEWSLETTER, promotional content is PROMOTIONAL, automated notifications are NOTIFICATIONS, social platform mail is SOCIAL, product/service updates are UPDATES, junk is SPAM.

Inputs:
abstract (MailAbstract)

Returns: Classification

Respond with a single JSON object.
Schema requirements:
- schema_object_wrapper must be one of: IMPORTANT=IMPORTANT, SPAM=SPAM, NEWSLETTER=NEWSLETTER, PROMOTIONAL=PROMOTIONAL, NOTIFICATIONS=NOTIFICATIONS, SOCIAL=SOCIAL, UPDATES=UPDATES
user: self = draft_responses()
abstract = MailAbstract(id='msg_004', thread_id='thr_004', snippet='This is a reminder for: Eval planning review. Tuesday Aug 5, 2026 10:00am - 10:30am Eastern. Organizer: impact@jaseci.org. Join with Google Meet', sender='Google Calendar <calendar-notification@google.com>')",,openai/glm-5.2,"```json
{""schema_object_wrapper"": ""NOTIFICATIONS""}
```",1,1,1,0.00018432,0.7999999999999999,321,4
