app,arm,files,phys,sloc,logic,prompt,comment,codechars,strchars,path
FactCheck,Jac,1,234,211,211,0,10,4470,4452,(total)
FactCheck,Jac,1,234,211,211,0,10,4470,4452,FactCheck/Jac/fact_check.jac
FactCheck,LangGraph,1,326,306,265,41,5,6442,5648,(total)
FactCheck,LangGraph,1,326,306,265,41,5,6442,5648,FactCheck/LangGraph/fact_check.py
FactCheck,OpenaiSDK,1,313,285,245,40,10,6378,5094,(total)
FactCheck,OpenaiSDK,1,313,285,245,40,10,6378,5094,FactCheck/OpenaiSDK/fact_check.py
FactCheck,NOOA,1,264,238,208,30,13,4394,4941,(total)
FactCheck,NOOA,1,264,238,208,30,13,4394,4941,FactCheck/NOOA/fact_check.py
Email-Auto-response,byLLM,2,192,178,178,0,10,3502,2157,(total)
Email-Auto-response,byLLM,1,179,165,165,0,10,3338,2157,Email-Auto-response/byLLM/nodes.jac
Email-Auto-response,byLLM,1,13,13,13,0,0,164,0,Email-Auto-response/byLLM/tools.jac
Email-Auto-response,CrewAI-LangGraph,9,272,241,204,37,5,4431,2906,(total)
Email-Auto-response,CrewAI-LangGraph,1,0,0,0,0,0,0,0,Email-Auto-response/CrewAI-LangGraph/main.py
Email-Auto-response,CrewAI-LangGraph,1,0,0,0,0,0,0,0,Email-Auto-response/CrewAI-LangGraph/src/__init__.py
Email-Auto-response,CrewAI-LangGraph,1,61,55,45,10,3,781,1028,Email-Auto-response/CrewAI-LangGraph/src/crew/agents.py
Email-Auto-response,CrewAI-LangGraph,1,35,33,33,0,0,815,91,Email-Auto-response/CrewAI-LangGraph/src/crew/crew.py
Email-Auto-response,CrewAI-LangGraph,1,71,60,44,16,0,1390,717,Email-Auto-response/CrewAI-LangGraph/src/crew/tasks.py
Email-Auto-response,CrewAI-LangGraph,1,34,28,21,7,2,436,508,Email-Auto-response/CrewAI-LangGraph/src/crew/tools.py
Email-Auto-response,CrewAI-LangGraph,1,27,23,19,4,0,326,332,Email-Auto-response/CrewAI-LangGraph/src/graph.py
Email-Auto-response,CrewAI-LangGraph,1,40,38,38,0,0,583,230,Email-Auto-response/CrewAI-LangGraph/src/nodes.py
Email-Auto-response,CrewAI-LangGraph,1,4,4,4,0,0,100,0,Email-Auto-response/CrewAI-LangGraph/src/state.py
Email-Auto-response,openai_sdk,3,516,473,404,69,18,7259,6169,(total)
Email-Auto-response,openai_sdk,1,66,58,53,5,6,969,627,Email-Auto-response/openai_sdk/llm.py
Email-Auto-response,openai_sdk,1,53,40,40,0,7,1283,216,Email-Auto-response/openai_sdk/main.py
Email-Auto-response,openai_sdk,1,397,375,311,64,5,5007,5326,Email-Auto-response/openai_sdk/nodes.py
Email-Auto-response,NOOA,1,209,182,167,15,9,4247,2583,(total)
Email-Auto-response,NOOA,1,209,182,167,15,9,4247,2583,Email-Auto-response/NOOA/main.py
meeting-assistant,byLLM,3,118,112,112,0,0,2262,1787,(total)
meeting-assistant,byLLM,1,0,0,0,0,0,0,0,meeting-assistant/byLLM/main.jac
meeting-assistant,byLLM,1,107,101,101,0,0,2033,1748,meeting-assistant/byLLM/nodes.jac
meeting-assistant,byLLM,1,11,11,11,0,0,229,39,meeting-assistant/byLLM/tools.jac
meeting-assistant,CrewAI,9,143,118,94,24,12,2020,1923,(total)
meeting-assistant,CrewAI,1,0,0,0,0,0,0,0,meeting-assistant/CrewAI/src/meeting_assistant_flow/__init__.py
meeting-assistant,CrewAI,1,10,10,4,6,0,40,410,meeting-assistant/CrewAI/src/meeting_assistant_flow/crews/meeting_assistant_crew/config/agents.yaml
meeting-assistant,CrewAI,1,24,19,4,15,4,68,879,meeting-assistant/CrewAI/src/meeting_assistant_flow/crews/meeting_assistant_crew/config/tasks.yaml
meeting-assistant,CrewAI,1,44,34,34,0,6,617,221,meeting-assistant/CrewAI/src/meeting_assistant_flow/crews/meeting_assistant_crew/meeting_assistant_crew.py
meeting-assistant,CrewAI,1,49,40,40,0,2,1036,262,meeting-assistant/CrewAI/src/meeting_assistant_flow/main.py
meeting-assistant,CrewAI,1,5,5,5,0,0,106,0,meeting-assistant/CrewAI/src/meeting_assistant_flow/types.py
meeting-assistant,CrewAI,1,0,0,0,0,0,0,0,meeting-assistant/CrewAI/src/meeting_assistant_flow/utils/mock_outputs.py
meeting-assistant,CrewAI,1,0,0,0,0,0,0,0,meeting-assistant/CrewAI/src/meeting_assistant_flow/utils/slack_helper.py
meeting-assistant,CrewAI,1,11,10,7,3,0,153,151,meeting-assistant/CrewAI/src/meeting_assistant_flow/utils/trello_helper.py
meeting-assistant,openai_sdk,3,174,165,161,4,3,2347,2703,(total)
meeting-assistant,openai_sdk,1,0,0,0,0,0,0,0,meeting-assistant/openai_sdk/main.py
meeting-assistant,openai_sdk,1,167,158,154,4,3,2133,2664,meeting-assistant/openai_sdk/nodes.py
meeting-assistant,openai_sdk,1,7,7,7,0,0,214,39,meeting-assistant/openai_sdk/tools.py
meeting-assistant,NOOA,3,110,104,87,17,1,2215,2369,(total)
meeting-assistant,NOOA,1,0,0,0,0,0,0,0,meeting-assistant/NOOA/main.py
meeting-assistant,NOOA,1,103,97,80,17,1,2001,2330,meeting-assistant/NOOA/nodes.py
meeting-assistant,NOOA,1,7,7,7,0,0,214,39,meeting-assistant/NOOA/tools.py
YTNavigator,byLLM,3,213,201,201,0,7,4314,4878,(total)
YTNavigator,byLLM,1,10,8,8,0,2,154,42,YTNavigator/byLLM/main.jac
YTNavigator,byLLM,1,179,169,169,0,5,3651,3771,YTNavigator/byLLM/nodes.jac
YTNavigator,byLLM,1,24,24,24,0,0,509,1065,YTNavigator/byLLM/tools.jac
YTNavigator,langchain,11,805,649,468,181,37,10298,11561,(total)
YTNavigator,langchain,1,83,69,69,0,0,1432,996,YTNavigator/langchain/app/schemas/agent.py
YTNavigator,langchain,1,9,7,7,0,0,166,228,YTNavigator/langchain/app/schemas/tools.py
YTNavigator,langchain,1,0,0,0,0,0,0,0,YTNavigator/langchain/app/services/agent/__init__.py
YTNavigator,langchain,1,19,9,9,0,10,211,137,YTNavigator/langchain/app/services/agent/llm.py
YTNavigator,langchain,1,390,314,240,74,18,5338,4338,YTNavigator/langchain/app/services/agent/main_graph.py
YTNavigator,langchain,1,88,67,3,64,0,78,2722,YTNavigator/langchain/app/services/agent/prompts.py
YTNavigator,langchain,1,153,130,92,38,6,2234,1872,YTNavigator/langchain/app/services/agent/react_graph.py
YTNavigator,langchain,1,0,0,0,0,0,0,0,YTNavigator/langchain/app/services/agent/trace.py
YTNavigator,langchain,1,0,0,0,0,0,0,0,YTNavigator/langchain/app/services/vector_database/tools/__init__.py
YTNavigator,langchain,1,32,28,23,5,0,402,565,YTNavigator/langchain/app/services/vector_database/tools/sql_tool.py
YTNavigator,langchain,1,31,25,25,0,3,437,703,YTNavigator/langchain/app/services/vector_database/tools/vector_tool.py
YTNavigator,openai_sdk,5,587,539,442,97,10,8190,9889,(total)
YTNavigator,openai_sdk,1,244,226,200,26,6,4991,2549,YTNavigator/openai_sdk/agent.py
